act_noise_std,act_only_reward,joint_reward,obs_noise_std,obs_only_reward
0.0,-0.97,1.00,0.0,0.19
0.0,-0.97,-1.22,0.4,-1.72
0.0,-0.97,-0.99,0.8,-0.94
0.0,-0.97,-1.04,1.2,0.43
0.4,-2.63,-3.47,0.0,0.19
0.4,-2.63,-1.91,0.4,-1.72
0.4,-2.63,-3.19,0.8,-0.94
0.4,-2.63,-3.57,1.2,0.43
0.8,-9.36,-8.36,0.0,0.19
0.8,-9.36,-10.90,0.4,-1.72
0.8,-9.36,-9.05,0.8,-0.94
0.8,-9.36,-7.23,1.2,0.43
1.2,-10.72,-11.34,0.0,0.19
1.2,-10.72,-11.88,0.4,-1.72
1.2,-10.72,-12.19,0.8,-0.94
1.2,-10.72,-11.97,1.2,0.43
1.6,-11.56,-12.20,0.0,0.19
1.6,-11.56,-11.84,0.4,-1.72
1.6,-11.56,-10.02,0.8,-0.94
1.6,-11.56,-11.70,1.2,0.43
2.0,-14.79,-11.71,0.0,0.19
2.0,-14.79,-14.86,0.4,-1.72
2.0,-14.79,-14.25,0.8,-0.94
2.0,-14.79,-12.08,1.2,0.43
