act_noise_std,obs_noise_std,reward_noisy,reward_score_n1,reward_score_n3
0.0,0.0,-8.50,-8.66,-8.86
0.0,0.4,-13.85,-11097.70,-34135.98
0.0,0.8,-16.73,-21945.01,-67800.75
0.0,1.2,-18.17,-33710.38,-99884.96
0.4,0.0,-10.80,-10.62,-10.99
0.4,0.4,-15.35,-11358.09,-33136.20
0.4,0.8,-17.65,-22126.28,-67640.21
0.4,1.2,-19.57,-34153.47,-102317.23
0.8,0.0,-15.48,-14.87,-15.24
0.8,0.4,-18.25,-11283.81,-34020.67
0.8,0.8,-20.44,-22489.81,-67295.91
0.8,1.2,-22.17,-33090.73,-99958.18
1.2,0.0,-19.59,-19.76,-19.55
1.2,0.4,-21.29,-11183.87,-33136.82
1.2,0.8,-23.28,-22102.59,-66915.97
1.2,1.2,-24.44,-33422.56,-100916.34
1.6,0.0,-22.19,-21.57,-21.76
1.6,0.4,-23.35,-11315.52,-33599.91
1.6,0.8,-25.00,-22041.88,-68709.96
1.6,1.2,-26.36,-32489.82,-100005.47
2.0,0.0,-23.81,-24.45,-24.64
2.0,0.4,-25.78,-11716.26,-33033.07
2.0,0.8,-26.61,-22177.45,-69473.17
2.0,1.2,-28.42,-34761.60,-100521.46
