noise_mu,action_noise_std,reward_no_noise,reward_noise_no_diffusion,reward_with_diff_t20,reward_with_diff_t40,best_reward_with_diffusion,pct_inc_vs_no_diffusion,pct_inc_vs_no_noise_worst
-0.50,0.00,2.17,1.84,-0.30,0.62,0.62,-66.17,-71.31
-0.50,0.50,2.17,0.98,-0.67,-0.90,-0.67,-168.69,-131.07
-0.50,1.00,2.17,-5.57,-2.05,-4.79,-2.05,63.17,-194.67
-0.50,1.50,2.17,-20.42,-4.69,-13.01,-4.69,77.05,-316.38
-0.50,2.00,2.17,-50.26,-8.42,-24.76,-8.42,83.25,-488.64
-0.50,2.50,2.17,-93.32,-14.88,-41.90,-14.88,84.05,-786.90
-0.50,3.00,2.17,-157.72,-23.69,-67.97,-23.69,84.98,-1193.30
0.50,0.00,2.17,2.13,0.17,1.95,1.95,-8.15,-9.86
0.50,0.50,2.17,0.58,-0.14,1.13,1.13,97.16,-47.64
0.50,1.00,2.17,-5.31,-1.57,-2.52,-1.57,70.42,-172.54
0.50,1.50,2.17,-20.53,-3.86,-9.26,-3.86,81.18,-278.29
0.50,2.00,2.17,-48.47,-8.28,-20.21,-8.28,82.93,-482.03
0.50,2.50,2.17,-92.66,-16.48,-36.35,-16.48,82.21,-860.67
0.50,3.00,2.17,-156.76,-23.70,-58.95,-23.70,84.88,-1193.84
